Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Estância,feminino,Preto,18.0,2.55556,1.2500,1.14286,3.50,,2.8
Estância,feminino,Pardo,18.0,2.55556,1.6250,1,1.00,3,3.4
Estância,feminino,Branco,18.0,1.66667,1.7500,1.28571,4.00,1.33333,3.4
Estância,masculino,Branco,18.0,1.66667,1.3125,1,4.75,2.66667,3.0
Estância,masculino,Pardo,18.0,3.33333,1.8750,1.57143,3.50,4.33333,1.8
Estância,feminino,Branco,18.0,2.11111,1.3125,1.28571,4.50,1.66667,3.6
Estância,masculino,Branco,18.0,2.88889,1.9375,,5.00,2.5,2.2
Estância,feminino,Preto,18.0,3.88889,1.7500,1,1.25,3.33333,2.2
Estância,feminino,Pardo,18.0,,1.9375,1,1.50,4,4.6
Estância,masculino,Pardo,18.0,2.55556,2.0000,1.28571,3.75,5,
Estância,feminino,Pardo,18.0,,,1,2.00,1.16667,1.0
Simão Dias,feminino,Branco,18.0,2.88889,3.1875,2.14286,3.00,1.83333,2.6
Simão Dias,feminino,Pardo,18.0,2.22222,1.5000,1,3.00,1.66667,4.0
Simão Dias,masculino,Branco,18.0,1.66667,1.8125,1,5.00,1,4.0
Simão Dias,masculino,Pardo,18.0,1.88889,1.0000,1,5.00,1,3.8
Simão Dias,masculino,Preto,18.0,2.77778,2.4375,1.42857,2.50,1.83333,3.4
CamBrito,feminino,Preto,18.0,1.88889,1.3125,1,4.50,1,3.4
Carmo,masculino,Pardo,18.0,2.22222,2.2500,1.57143,2.75,2.16667,3.2
Carmo,masculino,Pardo,18.0,,3.3750,2.71429,4.25,2.5,2.4
Carmo,masculino,Pardo,18.0,3.22222,1.8125,1.28571,4.00,2.66667,2.4
Carmo,masculino,Pardo,18.0,2.22222,1.2500,1.28571,2.50,1,4.0
Carmo,feminino,Pardo,18.0,2.44444,2.6250,1.14286,3.75,3,4.4
Carmo,feminino,Branco,18.0,3.11111,1.6250,1.42857,2.75,,2.8
Carmo,feminino,Pardo,18.0,2.33333,2.6250,1.85714,2.00,1.33333,
Carmo,masculino,Pardo,18.0,2.55556,1.8750,1.14286,1.00,1.66667,3.4
Carmo,feminino,Pardo,18.0,2.22222,1.6875,1,,3,4.6
Carmo,masculino,Pardo,18.0,,2.0000,1,3.25,1.5,4.6
Carmo,feminino,Pardo,18.0,2.22222,2.1875,2,4.00,2.66667,3.4
Carmo,feminino,Pardo,18.0,2.11111,1.6875,1.28571,4.50,2.33333,3.4
Carmo,feminino,Branco,18.0,1.66667,,1.14286,2.75,1.33333,2.2
Carmo,feminino,Pardo,18.0,2.55556,1.6250,1.28571,3.00,1.33333,2.6
Carmo,feminino,,18.0,2.55556,2.7500,2,,3,2.4
Carmo,masculino,Preto,18.0,,3.8750,2.71429,2.00,,1.4
Carmo,feminino,Pardo,18.0,2.22222,3.3125,2.42857,2.50,1.66667,4.0
Carmo,feminino,Pardo,18.0,2.11111,2.5000,2,1.25,,
Carmo,feminino,Pardo,18.0,3.11111,2.0625,1.71429,2.75,1.5,3.2
Carmo,feminino,Pardo,18.0,2.44444,2.3750,,2.50,2.5,2.4
Carmo,masculino,Branco,18.0,3.22222,2.0625,1,5.00,5,3.4
Carmo,feminino,,18.0,1.66667,1.6250,1.57143,4.00,1.33333,3.8
Carmo,feminino,,18.0,2.55556,,,,,
N.S. Dores,feminino,Pardo,18.0,2.44444,,1.57143,4.25,2,4.2
N.S. Dores,feminino,Preto,18.0,1.66667,1.5000,1,,1,4.2
N.S. Dores,feminino,,18.0,2.77778,1.6875,1,,1.5,
N.S. Dores,masculino,Pardo,18.0,2.33333,1.5625,1.14286,3.50,3.16667,2.8
N.S. Dores,masculino,Pardo,18.0,1.77778,1.9375,1.42857,3.00,,4.6
N.S. Dores,feminino,Pardo,18.0,2.55556,1.6875,1.57143,5.00,2,4.8
N.S. Dores,feminino,Pardo,18.0,1.88889,1.6250,1,5.00,2,4.8
N.S. Dores,masculino,Branco,18.0,3.55556,2.1875,1.28571,2.50,2.16667,2.6
Neópolis,masculino,Pardo,18.0,3.22222,1.6250,1.14286,3.50,2.33333,2.8
Neópolis,masculino,Branco,18.0,2.22222,1.8125,1,1.00,1.16667,3.6
Neópolis,masculino,Pardo,18.0,2.44444,2.0625,1.14286,3.75,1.33333,3.4
Neópolis,masculino,Pardo,18.0,2,1.8125,1,4.25,2.5,4.2
Neópolis,feminino,Pardo,18.0,2.22222,1.6250,1.85714,3.25,2.33333,3.0
Neópolis,feminino,Branco,18.0,1.77778,1.6250,1,5.00,1,4.0
Neópolis,masculino,Preto,18.0,1.88889,1.2500,1,4.25,1.16667,3.6
Neópolis,masculino,Preto,18.0,2.33333,2.3125,1.85714,4.50,1.16667,4.0
Neópolis,feminino,Branco,18.0,2.55556,2.3125,1.85714,2.75,1.66667,3.6
Neópolis,masculino,Preto,18.0,1.88889,2.8125,1,4.00,3.33333,4.0
Neópolis,feminino,Pardo,18.0,2.88889,,1.28571,4.50,3,4.2
Neópolis,feminino,Preto,18.0,2.33333,1.6250,1,1.75,1,
Neópolis,feminino,Pardo,18.0,2.33333,2.1250,2.28571,3.00,1.16667,4.4
Neópolis,masculino,Preto,18.0,3.22222,,1.28571,2.00,1.83333,2.6
Porto Folha,masculino,Branco,18.0,,1.8125,1,1.00,1.66667,3.6
CamBrito,feminino,,18.0,2.44444,1.6250,1.57143,3.00,2,3.4
CamBrito,masculino,Branco,18.0,1.77778,2.1250,1.57143,2.25,1.33333,1.6
CamBrito,feminino,Pardo,18.0,2.33333,1.9375,1.28571,2.75,2,3.2
Maruim,masculino,Pardo,18.0,2.88889,,1.71429,,3.66667,
Maruim,feminino,Pardo,18.0,3.11111,,3.14286,2.50,3.16667,3.0
Maruim,feminino,Branco,18.0,2.55556,,,,1,3.0
Maruim,feminino,,18.0,3.22222,,,2.25,1,
Maruim,feminino,Preto,18.0,2.88889,,2.85714,3.25,1.83333,2.4
Maruim,feminino,Pardo,18.0,2.77778,3.5000,3.14286,2.50,3.16667,3.0
Maruim,feminino,Pardo,18.0,3.22222,2.9375,1.14286,3.00,2.5,3.2
Maruim,feminino,Pardo,18.0,2.22222,2.0000,1.14286,4.00,1,5.0
Maruim,feminino,Branco,18.0,1.22222,1.9375,1.28571,4.25,1,5.0
Maruim,masculino,Pardo,18.0,2.77778,2.2500,1.42857,2.00,3.33333,4.4
Maruim,feminino,Pardo,18.0,1.77778,2.3125,1.28571,2.50,1.5,4.0
Maruim,masculino,Preto,18.0,1.88889,,1.28571,3.25,2.33333,3.4
Maruim,masculino,Branco,18.0,1.88889,,1.57143,3.75,1,3.4
Maruim,feminino,Branco,18.0,1.77778,2.8125,2.14286,3.75,1.5,4.4
Maruim,feminino,Pardo,18.0,1.55556,2.6250,1.57143,2.50,1.66667,3.8
Maruim,feminino,,18.0,,1.6250,1,1.00,1.83333,3.6
Maruim,masculino,Pardo,18.0,,,1.28571,,1.5,
Maruim,masculino,Branco,18.0,2.66667,2.2500,1.14286,3.50,1.66667,4.4
Maruim,feminino,Branco,18.0,3.11111,,,3.00,3.16667,2.4
Canindé,feminino,Branco,18.0,2.77778,2.2500,1,2.00,2.66667,3.8
Canindé,masculino,Pardo,18.0,1.55556,1.2500,1.28571,4.00,1.66667,3.6
Canindé,masculino,Branco,18.0,2.11111,1.8750,1,3.50,2.33333,3.2
Canindé,masculino,Pardo,18.0,2,1.6875,2,2.00,2.33333,5.0
Canindé,feminino,,18.0,1.77778,1.6875,1,3.50,1,4.2
Aracaju,feminino,Pardo,18.0,,2.0625,1,5.00,4.83333,2.8
Aracaju,feminino,Pardo,18.0,2,2.1250,1.28571,3.00,2.16667,3.0
Aracaju,feminino,Branco,18.0,3.66667,,1.85714,3.25,3.83333,4.2
Aracaju,feminino,Preto,18.0,2.77778,,2.28571,4.25,1.66667,3.0
Aracaju,feminino,Preto,18.0,,2.0625,1.71429,3.50,1.83333,2.4
Aracaju,feminino,,18.0,1.88889,2.2500,1.57143,2.25,2.83333,3.6
Aracaju,masculino,,18.0,,,,,,
Aracaju,masculino,,18.0,2.55556,1.9375,,,,
Aracaju,feminino,Pardo,18.0,,2.0625,1.57143,2.75,1,
Aracaju,masculino,Pardo,18.0,3.33333,2.5000,3.42857,2.25,4.16667,4.0
Aracaju,masculino,,18.0,2.66667,2.1250,1,3.75,4,3.0
Aracaju,masculino,Pardo,18.0,3.44444,2.5625,1.57143,2.75,4.83333,2.2
Aracaju,feminino,Pardo,18.0,2,1.7500,1.42857,2.00,2.16667,3.2
Aracaju,feminino,Preto,18.0,3,2.6250,2.14286,4.25,2,2.4
Aracaju,masculino,Pardo,18.0,,,1.28571,3.25,,
Estância,masculino,Branco,17.0,4.11111,,1.85714,2.00,5,1.2
