S_rie,violencia_texto,Redes_utilizadas_8_TEXT,Utilidade_das_redes_5_TEXT,Finalidade_celular_5_TEXT,id,Cidade,esc1_Pertencimento,esc2_sit_alunos,esc2_sit_escola,esc3_4_conflitos,esc5_bull_alvo,esc5_bull_agente,esc5_bull_testem,esc6_loc_agr_esc,esc6_loc_agr_imed,esc7_grup_estig,esc7_soma_pert,esc8_rel_intergrup,esc9_inc_diversid,esc11_satisf_vida,esc10_1_autoext,E5_10_11_individ,Sexo,Idade,Renda,serie_cat,orientação_sexual,Redes_sociais,Violenc__redes,Freq_Redes_cat,Tempo__Rede_cat,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Escala_1,Escala_2,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Escala_5,Escala5_F1,Escala5_F2,F1_Escala_9,F2_Escala_9,Maioria_racial,Maioria_Sexual,Maioria_religiosa,Minoria_Sexual,Minoria_Física,Minoria_racial,Minoria_religiosa,PCDs,Rico,Pobre,esc10_est_emoc_neg,esc6_loc_agr_internet,Cor_da_pele,esc_1_1,esc_1_2,esc_1_3,esc_1_4,esc_1_5,esc_1_6,esc_1_7,esc_1_8,esc_1_9
1 Etapa c,,,,,238,Estância,1.88889,3.5,2.2,3,1.66667,1,3,2,4,20,5,2,2.66667,1.2,5,11.8667,Feminino,17,,PROSIC EFAF(1a. etapa),Bissexual,sim,,Algumas vezes na semana,De 1 hora a 2 horas,4,4,4,5,5,5,4,3,3,4,3,3,2,1,1,1,3,,,,3,2,2,4,3,,,,3,3,3,,3,3,3,3,3,3,1,,,,1,1,3,1,1,3,3,3,3,1,1,3,1,4,4,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,2,2,2,4,4,1,1,2,3,4,2,3,5,5,5,5,5,5,1,2,1,1,1,4.11111,,,,3,,,1.85714,2,1.66667,3,2,1,0,0,1,1,0,1,1,0,0,5,4,branco,2,2,2,1,1,1,2,3,3
1 ETAPA C,,,,,240,Estância,3,2.4,1.7,3,1.5,1,1,1.4,1,19,7,1.5,,,0,3.5,Feminino,17,,PROSIC EFAF(1a. etapa),cis_hetero,,,,,4,4,2,4,2,3,2,2,4,4,1,1,2,1,1,1,1,3,1,3,3,1,1,5,1,1,,4,3,3,3,3,3,5,1,3,3,5,3,3,1,3,2,1,,1,1,1,1,2,2,1,,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,3,1625,2.6,,4,2.33333,2,,1.25,,,,1,2,1,1,1,0,0,1,0,0,,1,branco,2,2,4,2,4,3,4,4,2
1 ETAPA C,,,,,241,Estância,3.55556,2.4,2,3,1,1,1,1,1,18,7,4.25,3.11111,2.6,1,7.26667,masculino,17,Menos do que 1 salário-mínimo,PROSIC EFAF(1a. etapa),cis_hetero,sim,não,Todos os dias,Mais de 4 horas,4,1,3,2,2,4,1,4,1,4,1,1,3,2,1,1,4,3,1,3,1,2,2,5,2,1,5,3,3,4,2,3,3,3,1,5,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,3,4,5,5,5,2,1,1,2,5,5,3,4,1,1,1,1,3,3,4,2,3,2,2,2.44444,2,2.6,3.66667,3.5,1.33333,1,1,1,1,4,1.33333,1,3,1,0,1,0,0,0,0,1,1.66667,1,branco,2,5,3,4,4,2,5,2,5
1 ETAPA C,,,,,242,Estância,3.55556,2.4,2.1,3,1,1,1,1,1,18,7,4,3.11111,2.6,1,7.26667,masculino,16,De 1 até 3 salários-mínimos,PROSIC EFAF(1a. etapa),cis_hetero,sim,não,Todos os dias,Mais de 4 horas,4,1,3,2,2,4,1,4,1,4,1,1,3,2,1,1,4,3,1,3,1,3,2,5,2,1,5,3,3,4,2,3,3,4,1,5,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3,4,4,5,5,2,1,1,2,5,5,3,4,1,1,1,1,3,3,4,2,3,2,2,2.44444,2.0625,2.6,3.66667,3.75,1.33333,1.5,1,1,1,4,1.33333,0,3,1,0,1,1,0,0,0,1,1.66667,1,pardo,2,5,3,4,4,2,5,2,5
Prosic 1 etapa C,,,,,243,Estância,3.88889,2.6,2.2,3,1,1,1,1,1,19,4,3.75,2.88889,4.4,1,8.56667,,17,,PROSIC EFAF(1a. etapa),cis_hetero,,não,,,4,1,1,1,3,2,3,1,3,4,1,5,3,1,1,1,4,2,1,1,4,4,1,5,1,2,5,5,4,3,1,3,3,,1,4,3,3,1,1,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,4,4,1,4,1,1,4,4,5,4,2,1,2,1,1,1,1,5,5,5,4,3,2.11111,2.1875,2.6,4.33333,,1,1.5,,1,,3.33333,2,0,1,1,1,0,1,0,0,0,0,1.16667,1,pardo,2,5,5,5,3,4,3,5,3
1 ETAPA C,,,,,243,Estância,3,1.4,2.33333,2,1,1,1,1.33333,2,20,4,2.75,2.71429,,1,4,Feminino,17,,PROSIC EFAF(1a. etapa),,sim,,Todos os dias,Mais de 4 horas,2,2,3,2,3,5,1,4,5,2,4,1,1,1,1,1,5,2,1,1,5,1,,5,2,1,3,3,2,2,2,1,5,4,1,4,1,5,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,2,2,2,1,1,1,,4,,5,4,3,1,1,1,1,1,1,2,3,5,,4,3,,1.6,3.66667,3.5,1,2,1,1,1,,,0,0,1,1,0,1,0,0,0,1,1,1,preto,4,4,3,4,3,1,5,2,1
1 ETAPA C,,,,,244,Estância,3.77778,1.4,2,2,1,1,1,1.33333,2,20,4,2.75,2875,,1,4,Feminino,17,,PROSIC EFAF(1a. etapa),,sim,não,Todos os dias,Mais de 4 horas,2,2,1,2,3,3,1,4,2,2,4,1,1,1,1,1,5,2,1,1,2,1,,5,2,1,3,3,2,2,1,1,5,4,1,4,3,5,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,2,2,2,1,1,1,,4,5,4,4,3,1,1,1,1,1,1,2,3,5,,4,2.22222,,1.4,3.66667,4,1,2,1,1,1,3.5,,0,0,1,1,0,1,0,0,0,1,1,1,pardo,4,4,5,4,3,3,5,2,4
1 Etapa C,,,,,245,Estância,4.66667,2,2,3,1,1,1,1,1,18,5,4,3.11111,4,1,8.16667,masculino,17,De 1 até 3 salários-mínimos,PROSIC EFAF(1a. etapa),cis_hetero,sim,não,Todos os dias,De 2 horas a 3 horas,2,2,1,1,1,2,1,1,1,3,1,2,2,2,1,1,4,2,1,2,3,3,1,5,1,2,3,5,4,4,3,3,3,4,2,2,5,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,3,3,5,4,1,2,1,4,4,5,4,3,1,1,1,2,1,1,3,4,5,4,4,1.33333,1875,3.2,3.66667,3.75,1.33333,1.5,1,1,1,4,1.33333,0,2,1,0,1,1,0,0,0,0,1.16667,1,pardo,4,4,5,5,5,4,5,5,5
1 ETAPA C,Já fui agredida e humilhada.,,,,246,Estância,3.44444,1.4,1.4,3,1.66667,1,3,1.33333,1,26,6,5,3.33333,2.8,4,8.46667,Feminino,22,,PROSIC EFAF(1a. etapa),cis_hetero,sim,sim,Raramente,De 1 hora a 2 horas,1,1,1,1,1,3,5,5,5,3,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,5,5,5,3,1,1,1,3,1,3,5,5,3,1,3,1,1,3,1,1,1,3,3,3,1,1,1,1,1,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,5,5,5,5,1,3,1,1,5,5,5,4,5,4,3,3,,1,3,3,3,4,3,1,2.55556,1.25,2.2,3.66667,4,1,3,1.85714,2.5,1,4.16667,1.66667,0,1,1,1,1,1,0,0,0,1,,3,,5,5,5,5,5,3,1,1,1
Prosic 1 etapa c,,,,,248,Estância,4.66667,1.4,1.7,3,1,1,1,1,1,17,4,4,3.33333,4,1,8,masculino,16,Menos do que 1 salário-mínimo,PROSIC EFAF(1a. etapa),cis_hetero,sim,não,Todos os dias,De 1 hora a 2 horas,1,1,2,1,1,1,1,2,2,2,1,1,5,1,1,1,3,2,1,1,1,2,1,3,1,1,4,5,3,3,1,1,5,5,1,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,5,1,1,1,4,5,5,4,4,1,1,1,1,1,1,3,4,5,5,3,1.33333,1.6875,1.8,4.66667,4.25,1,1,1,1,1,4.5,1,0,2,0,0,1,1,0,0,0,0,1,1,preto,5,5,4,5,5,5,5,4,4
